,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35
0,287,287,287,287,287,287,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,284,284,284,284,285,0,0,0,0,0,0,0
1,286,286,286,286,286,286,0,0,0,0,0,0,0,0,0,0,0,0,0,283,283,283,283,283,283,283,284,284,0,0,0,0,0,0,0,0
2,286,286,286,286,286,286,0,0,0,0,0,0,0,0,0,0,0,0,0,283,283,283,283,283,283,283,284,284,0,0,0,0,0,0,0,0
3,286,286,286,286,286,285,285,0,0,0,0,0,0,0,0,0,0,0,281,281,281,281,282,282,282,283,283,283,283,283,283,283,283,0,0,0
4,285,285,285,285,285,285,285,0,0,0,0,0,0,0,0,0,0,0,281,281,281,281,281,281,281,281,281,282,282,282,282,282,282,283,0,0
5,285,285,285,285,285,285,0,0,0,0,0,0,0,0,0,0,0,0,281,281,281,281,281,281,281,281,281,282,282,282,282,282,282,283,0,0
6,285,285,285,284,284,284,0,0,0,0,0,0,0,0,0,0,280,280,280,280,280,281,281,281,281,281,281,281,281,281,281,281,281,283,0,0
7,285,285,285,284,284,284,0,0,0,0,0,0,0,0,0,0,280,280,280,280,280,0,0,0,280,280,280,280,280,280,281,281,281,0,0,0
8,285,285,284,284,284,284,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,280,280,280,280,280,280,0,0,0,0,0,0
9,285,285,284,284,284,284,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,279,279,279,279,279,279,279,0,0,0,0,0,0
10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,279,279,279,279,279,279,279,0,0,0,0,0,0
11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,278,278,278,278,278,278,278,278,278,279,0,0,0,0,0,0
12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,277,277,277,277,277,277,277,277,277,277,0,0,0,0,0,0
13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,277,277,277,277,277,277,277,277,277,277,0,0,0,0,0,0
14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,276,276,276,276,276,276,276,276,276,276,0,0,0,0,0,0
15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,276,276,276,276,276,276,276,276,276,276,0,0,0,0,0,0
16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,276,276,276,276,276,276,276,276,276,0,0,0,0,0,0,0
17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,275,275,275,275,275,275,275,275,275,0,0,0,0,0,0,0
18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,275,275,275,275,274,274,274,274,274,273,273,273,0,0,0,0,0
19,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,275,275,275,275,274,274,274,274,274,273,273,273,0,0,0,0,0
20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,275,275,274,274,274,274,274,274,274,274,273,273,273,273,0,0,0,0,0
21,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,275,275,274,274,274,274,274,274,274,274,273,273,273,272,272,271,271,0,270
